"","Estado","Registros","Ano","Mês","Região"
"1","Acre",373,"2018","Abril","Todas"
"2","Alagoas",1316,"2018","Abril","Todas"
"3","Amapá",236,"2018","Abril","Todas"
"4","Amazonas",402,"2018","Abril","Todas"
"5","Bahia",4719,"2018","Abril","Todas"
"6","Ceará",3773,"2018","Abril","Todas"
"7","Distrito Federal",1173,"2018","Abril","Todas"
"8","Espírito Santo",1943,"2018","Abril","Todas"
"9","Goiás",2905,"2018","Abril","Todas"
"10","Maranhão",1367,"2018","Abril","Todas"
"11","Mato Grosso",1470,"2018","Abril","Todas"
"12","Mato Grosso do Sul",1309,"2018","Abril","Todas"
"13","Minas Gerais",10563,"2018","Abril","Todas"
"14","Paraná",5884,"2018","Abril","Todas"
"15","Paraíba",2212,"2018","Abril","Todas"
"16","Pará",1336,"2018","Abril","Todas"
"17","Pernambuco",5276,"2018","Abril","Todas"
"18","Piauí",895,"2018","Abril","Todas"
"19","Rio Grande do Norte",1208,"2018","Abril","Todas"
"20","Rio Grande do Sul",6034,"2018","Abril","Todas"
"21","Rio de Janeiro",2933,"2018","Abril","Todas"
"22","Rondônia",660,"2018","Abril","Todas"
"23","Roraima",174,"2018","Abril","Todas"
"24","Santa Catarina",3300,"2018","Abril","Todas"
"25","Sergipe",1132,"2018","Abril","Todas"
"26","São Paulo",24052,"2018","Abril","Todas"
"27","Tocantins",517,"2018","Abril","Todas"
